Locality,Interior_SqFt,Distance_To_Main_Road,Num_Bedrooms,Num_Bathrooms,Total_Rooms,Sale_Condition,Parking_Facility,Building_Type,Utilities_Available,Street_Type,Zoning_Type,Quality_Score_Rooms,Quality_Score_Bathroom,Quality_Score_Bedroom,Quality_Score_Overall,Registration_Fee,Commission,Sale_Price,Sale_Year,Build_Year,Building_Age
Anna Nagar,1709,130,1,1,4,Family,No,Others,NoSeWa,Gravel,RH,4,3,4,4,452501,90500,12928590,2009,2003,6
KK Nagar,2114,46,3,2,5,AdjLand,Yes,Commercial,NoSeWa,Gravel,RH,2,3,3,3,632334,281037,17564820,2010,1989,21
Karapakkam,1226,180,1,1,3,Normal Sale,No,House,AllPub,Paved,A,4,3,4,4,154109,114339,4971250,2010,1983,27
Velachery,1648,111,2,1,4,Family,Yes,Others,NoSeWa,Paved,C,4,2,2,2,275120,82536,9170660,2011,1998,13
Chrompet,856,36,1,1,3,AdjLand,Yes,Others,NoSeWa,Gravel,RM,2,3,3,3,332269,103834,10383420,2011,1985,26
Adyar,904,52,1,1,3,AdjLand,No,Commercial,AllPub,No Access,RM,3,3,2,3,348042,23203,11601400,2009,1969,40
Chrompet,1198,105,1,1,3,Normal Sale,No,Others,AllPub,No Access,RH,3,3,4,3,255727,98991,8249260,2012,1976,36
Karapakkam,931,16,1,1,3,AdjLand,No,Commercial,AllPub,Paved,A,4,4,2,3,291669,166668,6944500,2011,1993,18
Karapakkam,1290,86,1,1,3,AdjLand,Yes,House,AllPub,Paved,RH,3,2,4,3,364015,92940,7745000,2009,1961,48
Karapakkam,507,49,1,1,2,Ab Normal,Yes,House,AllPub,Gravel,RH,2,4,4,4,252032,74464,5728000,2010,1964,46
KK Nagar,2492,113,4,2,6,Ab Normal,No,Commercial,NoSeWa,Paved,RL,4,4,3,4,917550,224706,18725520,2009,1993,16
Karapakkam,851,105,1,1,2,Partial,No,House,AllPub,No Access,C,4,3,2,3,167896,39295,3572250,2011,1982,29
T Nagar,1882,189,2,1,5,Ab Normal,Yes,Others,AllPub,Gravel,RM,3,4,4,3,433393,272877,16051580,2006,1985,21
Anna Nagar,1710,15,1,1,4,Normal Sale,Yes,Commercial,AllPub,Gravel,RH,2,4,2,2,808639,161728,20215970,2009,1998,11
Karapakkam,1412,28,2,2,4,AdjLand,No,House,AllPub,Gravel,RL,4,2,3,3,251370,192717,8379000,2010,1982,28
Adyar,779,51,1,1,2,Normal Sale,No,House,NoSeWa,No Access,C,3,4,2,3,190463,31744,5290635,2006,1997,9
T Nagar,1655,19,1,1,4,Ab Normal,No,Others,AllPub,Gravel,RH,2,4,3,3,376468,238430,12548930,2014,1980,34
Karapakkam,940,167,1,1,3,AdjLand,No,House,AllPub,Paved,RH,2,2,4,3,263599,64435,5857750,2010,1961,49
KK Nagar,1667,126,2,1,4,Partial,Yes,House,NoSeWa,Paved,RM,4,2,5,4,364810,268243,10729700,2012,2007,5
KK Nagar,1926,49,3,2,5,Family,Yes,Commercial,NoSeWa,Paved,RM,3,2,4,3,816325,153061,17006780,2008,1999,9
Adyar,718,75,1,1,2,Partial,Yes,Others,AllPub,No Access,C,2,3,3,3,211662,55701,5570050,2007,1977,30
Karapakkam,545,154,1,1,2,Partial,No,Others,AllPub,No Access,RH,3,2,3,2,165738,88651,3854375,2012,1982,30
Karapakkam,1249,25,1,1,3,AdjLand,Yes,Others,AllPub,Gravel,RH,2,3,3,3,318010,120328,8594875,2009,1973,36
T Nagar,1894,187,2,1,5,Partial,Yes,House,NoSeWa,Gravel,RL,2,3,4,3,406478,162591,13549250,2013,1968,45
Karapakkam,1469,200,2,2,4,Ab Normal,No,Commercial,NoSeWa,No Access,C,4,2,2,2,284423,132731,9480750,2011,2006,5
Adyar,916,32,1,1,3,Normal Sale,Yes,House,AllPub,No Access,A,3,3,3,3,228053,23390,5847520,2008,1980,28
Chrompet,934,11,1,1,3,AdjLand,Yes,House,NoSeWa,Paved,RM,3,4,3,3,310749,58265,9710900,2008,1986,22
Karapakkam,1691,100,2,2,4,Ab Normal,No,House,NoSeWa,Gravel,RM,4,3,3,3,319558,178576,9398750,2011,1980,31
Karapakkam,1236,36,1,1,3,Normal Sale,No,Commercial,NoSeWa,Paved,I,3,3,2,2,334638,114481,8806250,2011,1972,39
T Nagar,1577,23,1,1,4,Partial,Yes,Others,NoSeWa,Paved,RH,3,4,3,4,302183,193397,12087330,2007,1971,36
Anna Nagar,1915,13,2,1,5,Partial,Yes,Others,NoSeWa,Gravel,RH,4,2,4,3,354391,170107,14175620,2011,1970,41
Anna Nagar,1600,154,1,1,4,Family,Yes,House,AllPub,Gravel,RH,3,2,2,3,309941,166891,11920820,2012,1991,21
Velachery,1579,58,2,1,4,Ab Normal,Yes,Commercial,AllPub,Paved,I,4,2,2,2,467766,240565,13364730,2011,1987,24
Adyar,1260,89,2,2,4,Partial,No,Others,NoSeWa,No Access,A,3,4,4,4,256150,34615,6922975,2008,1983,25
Adyar,1021,176,1,1,3,Normal Sale,No,Commercial,NoSeWa,Paved,I,3,4,2,3,361868,175098,11673175,2009,2004,5
KK Nagar,2174,48,3,2,5,Family,Yes,Others,AllPub,Paved,RM,2,2,2,2,548929,313674,13069740,2011,1988,23
Anna Nagar,1589,39,1,1,4,Partial,No,Others,AllPub,Gravel,RL,2,2,4,3,451857,85486,12212350,2010,1966,44
Adyar,668,177,1,1,2,Ab Normal,Yes,Commercial,NoSeWa,Gravel,I,4,2,3,3,329074,102836,10283575,2010,2005,5
Velachery,1724,116,2,1,4,Ab Normal,Yes,House,AllPub,No Access,RL,3,2,2,2,358259,152260,8956480,2006,1952,54
Adyar,890,116,1,1,3,Ab Normal,Yes,House,NoSeWa,Paved,C,2,4,5,4,251557,43124,7187350,2011,1981,30
Adyar,1218,51,2,2,4,Normal Sale,No,Commercial,AllPub,No Access,I,4,3,3,3,377246,138323,12574850,2007,1977,30
Anna Nagar,1792,41,1,1,4,Family,Yes,House,AllPub,Gravel,RM,2,2,2,2,514532,250313,13906270,2011,1990,21
Karapakkam,1378,192,2,2,4,AdjLand,No,Others,NoSeWa,Gravel,RM,4,2,2,3,297525,208268,9917500,2012,2003,9
Karapakkam,898,72,1,1,3,Partial,Yes,Commercial,NoSeWa,Paved,RH,2,3,2,2,345190,215744,8629750,2009,1980,29
Anna Nagar,1928,148,2,1,5,Partial,No,House,AllPub,No Access,RH,3,4,2,3,466682,105003,11667050,2011,2001,10
Chrompet,1233,24,2,1,4,Ab Normal,No,House,NoSeWa,Gravel,RM,2,2,4,2,245429,107989,9817150,2008,1975,33
Velachery,1618,100,2,1,4,AdjLand,Yes,Others,NoSeWa,Paved,C,4,4,4,4,370522,92631,9263050,2007,1967,40
Karapakkam,627,49,1,1,2,Family,No,House,NoSeWa,Gravel,RM,4,2,2,3,223975,92225,6587500,2011,1983,28
Velachery,1563,43,2,1,4,Family,No,House,NoSeWa,Gravel,RM,4,4,2,3,303780,195987,9799360,2005,1977,28
Karapakkam,1693,187,2,2,4,Normal Sale,Yes,Commercial,NoSeWa,Gravel,C,3,2,3,3,384045,166420,12801500,2009,2003,6
T Nagar,1522,85,1,1,4,Partial,No,Commercial,AllPub,Gravel,RL,4,3,3,3,506181,174545,17454510,2009,1966,43
Adyar,1090,171,1,1,3,Partial,Yes,Others,NoSeWa,Gravel,RH,3,2,2,2,373632,98324,9832420,2008,1980,28
Chrompet,1085,149,1,1,3,Ab Normal,Yes,Commercial,NoSeWa,Gravel,RL,2,3,4,3,387815,100545,14363500,2014,2008,6
T Nagar,1687,73,1,1,4,Ab Normal,No,Others,NoSeWa,Paved,RH,4,4,2,3,411733,224582,12476770,2009,1996,13
Adyar,692,62,1,1,2,Normal Sale,Yes,Commercial,AllPub,Paved,RH,4,4,5,4,394491,124576,10381355,2008,1971,37
T Nagar,1518,145,1,1,4,Family,Yes,Commercial,AllPub,Paved,RH,3,3,4,3,457606,158402,17600240,2008,1971,37
Adyar,1025,125,1,1,3,Partial,No,Commercial,NoSeWa,Paved,I,2,2,2,2,349916,142153,10934875,2008,1983,25
KK Nagar,2170,121,3,2,5,Family,Yes,House,NoSeWa,Gravel,RL,3,4,4,4,593864,284560,12372160,2010,2002,8
Chrompet,969,70,1,1,3,Family,Yes,Commercial,AllPub,No Access,RH,3,2,4,3,337463,146234,11248750,2011,1994,17
KK Nagar,1546,129,2,1,4,Ab Normal,No,Commercial,AllPub,Gravel,RM,2,4,2,3,441475,142411,14241140,2008,1981,27
KK Nagar,1709,6,2,1,4,Ab Normal,Yes,House,NoSeWa,Paved,RL,4,3,2,3,467388,233694,10160600,2009,1989,20
T Nagar,1659,103,1,1,4,AdjLand,Yes,Others,NoSeWa,No Access,RL,3,2,3,3,433251,216625,13539080,2013,1995,18
Chrompet,755,8,1,1,2,Normal Sale,No,Commercial,AllPub,Gravel,RM,3,4,2,3,289649,42911,10727750,2015,1982,33
Adyar,1182,50,1,1,3,Normal Sale,Yes,House,AllPub,No Access,RL,3,3,3,3,374948,39468,9867055,2007,1990,17
Adyar,735,67,1,1,2,AdjLand,No,Commercial,NoSeWa,No Access,RH,2,4,4,3,284361,132702,9478710,2012,1998,14
Chrompet,1089,0,1,1,3,Normal Sale,Yes,House,AllPub,Paved,RL,2,2,3,2,235305,45251,9050200,2013,1981,32
Velachery,1534,6,2,1,4,Partial,Yes,Others,AllPub,Paved,C,4,4,2,3,284552,63234,7904210,2005,1952,53
Anna Nagar,1622,147,1,1,4,Family,Yes,House,AllPub,Gravel,RL,4,3,4,4,378840,209015,13063450,2007,2002,5
KK Nagar,2198,71,3,2,5,Partial,Yes,Others,NoSeWa,Gravel,RM,4,4,3,4,679249,122265,13584980,2008,1987,21
Chrompet,1293,34,2,1,4,Normal Sale,No,Commercial,AllPub,No Access,RL,3,2,3,2,419714,157393,13116050,2014,1975,39
KK Nagar,1641,178,2,1,4,Partial,No,Others,AllPub,Gravel,RL,4,4,3,3,460580,190239,10012600,2009,1980,29
Velachery,1950,185,3,2,5,AdjLand,Yes,Others,NoSeWa,Paved,RL,5,4,3,4,411601,84741,12105920,2005,1964,41
Karapakkam,1245,106,1,1,3,Partial,No,Others,NoSeWa,Paved,A,4,2,3,3,201653,113123,4918375,2011,1983,28
Chrompet,905,144,1,1,3,Family,No,Others,AllPub,Gravel,RH,3,3,4,3,223393,77032,7703200,2009,1976,33
KK Nagar,1496,135,2,1,4,Family,No,House,NoSeWa,Gravel,RH,3,3,2,3,265641,137105,8569080,2012,1998,14
Velachery,1892,38,3,2,5,AdjLand,Yes,House,AllPub,Gravel,RM,3,3,4,3,449425,133613,12146620,2005,1969,36
Velachery,1517,40,2,1,4,Family,No,Commercial,AllPub,Paved,C,4,4,2,3,408507,116716,11671620,2010,1999,11
Adyar,1034,73,1,1,3,AdjLand,Yes,Others,AllPub,Gravel,C,3,3,3,3,277702,46284,9256740,2009,1993,16
Velachery,1755,142,2,1,4,Family,Yes,Commercial,NoSeWa,Gravel,I,4,4,3,4,581720,193907,14915900,2009,1974,35
Anna Nagar,1622,79,1,1,4,AdjLand,Yes,House,NoSeWa,Paved,RM,2,3,2,2,406434,243860,13547790,2013,2006,7
Chrompet,1092,89,1,1,3,Normal Sale,No,Others,AllPub,No Access,RH,2,2,2,2,246391,57491,8213040,2013,2009,4
Chrompet,821,34,1,1,3,AdjLand,No,House,NoSeWa,Paved,RH,3,4,2,3,182600,65736,7304000,2014,2006,8
KK Nagar,1694,72,2,1,4,Family,No,Others,NoSeWa,Gravel,RL,4,2,3,3,353291,114300,10390900,2008,1997,11
Anna Nagar,1809,177,2,1,5,Family,No,Commercial,AllPub,No Access,RL,3,3,2,2,518585,230482,19206870,2010,1984,26
Karapakkam,1401,20,2,2,4,Partial,Yes,Others,AllPub,Gravel,RL,3,4,4,4,438477,229204,9965375,2011,1997,14
Karapakkam,1470,99,2,2,4,Ab Normal,No,Others,NoSeWa,No Access,RH,3,3,3,3,302694,172968,7207000,2011,1986,25
Chrompet,798,166,1,1,2,Partial,No,Commercial,NoSeWa,Paved,RH,2,2,3,2,253975,145129,9070550,2013,1976,37
Chrompet,764,137,1,1,2,Partial,No,House,AllPub,No Access,RH,3,3,2,2,158766,90723,5670200,2008,2000,8
Chrompet,1135,50,1,1,3,Ab Normal,No,Others,NoSeWa,No Access,RM,4,2,3,3,296102,148051,9253200,2008,1985,23
Karapakkam,939,74,1,1,3,Ab Normal,No,House,AllPub,No Access,I,4,3,3,3,214700,38646,4294000,2009,1971,38
Karapakkam,1586,59,2,2,4,Normal Sale,Yes,Commercial,NoSeWa,Gravel,RM,3,3,4,3,586956,200424,14316000,2009,1981,28
T Nagar,1973,63,2,1,5,Family,Yes,Commercial,AllPub,Gravel,RM,2,2,4,3,885666,116535,23307000,2007,1972,35
Chrompet,1023,44,1,1,3,Partial,Yes,House,AllPub,Paved,RM,3,2,3,3,282319,38941,9735150,2007,1990,17
Chrompet,884,75,1,1,3,Normal Sale,No,Commercial,NoSeWa,No Access,RM,2,3,2,2,283410,45346,11336400,2010,2006,4
Anna Nagar,1640,113,1,1,4,AdjLand,No,Commercial,AllPub,No Access,RH,2,3,3,3,495645,194718,17701600,2010,2005,5
Adyar,622,60,1,1,2,Normal Sale,No,Others,AllPub,No Access,RL,2,4,3,3,216906,72302,6572900,2007,1987,20
Anna Nagar,1880,90,2,1,5,Partial,Yes,House,NoSeWa,No Access,RM,3,4,4,3,483229,214768,13423020,2009,1993,16
KK Nagar,2413,166,4,2,6,Ab Normal,No,Others,NoSeWa,Paved,RM,2,2,2,2,419905,170587,13122040,2010,2001,9
T Nagar,1649,169,1,1,4,AdjLand,No,Commercial,AllPub,Gravel,RH,2,2,4,3,681808,113635,18939100,2009,1984,25
Velachery,1729,144,2,1,4,Partial,Yes,Commercial,NoSeWa,Paved,A,3,4,4,3,396911,128036,12803570,2008,1967,41
T Nagar,1942,10,2,1,5,Family,No,House,NoSeWa,Gravel,RH,4,3,2,3,320599,61654,12330740,2014,1977,37
Chrompet,711,116,1,1,2,AdjLand,Yes,Others,NoSeWa,No Access,RL,2,3,2,2,249558,64402,8050270,2014,2002,12
Chrompet,885,122,1,1,3,Family,No,House,AllPub,No Access,RM,4,2,2,3,237422,107919,7194600,2013,1981,32
KK Nagar,1688,148,2,1,4,Ab Normal,Yes,House,NoSeWa,Gravel,RM,2,2,4,3,547810,285318,11412700,2009,1994,15
Adyar,1236,108,2,2,4,Family,No,Commercial,AllPub,Gravel,A,3,3,4,4,481414,24071,12035355,2007,1970,37
Karapakkam,926,98,1,1,3,Family,No,House,AllPub,Gravel,RL,4,4,2,3,288834,68770,6877000,2011,1991,20
KK Nagar,1686,57,2,1,4,Ab Normal,No,Others,NoSeWa,Paved,RM,3,2,3,3,382817,196582,10346400,2009,1985,24
Karapakkam,1344,129,2,2,4,AdjLand,No,Commercial,NoSeWa,Gravel,RH,4,4,3,3,453999,259428,10809500,2009,1959,50
KK Nagar,1437,104,2,1,4,Family,No,Others,AllPub,Gravel,RM,3,4,2,3,489629,102006,10200600,2012,1989,23
Karapakkam,1430,17,2,2,4,Ab Normal,Yes,Others,NoSeWa,No Access,A,4,3,3,3,238887,106172,6635750,2009,1999,10
Adyar,1081,85,1,1,3,Family,No,House,AllPub,No Access,C,3,3,3,3,241416,6190,6190150,2008,1978,30
Karapakkam,1352,1,2,2,4,Normal Sale,Yes,House,AllPub,Gravel,A,3,2,3,2,240768,123638,6507250,2010,1983,27
KK Nagar,1986,109,3,2,5,Normal Sale,No,House,AllPub,Gravel,RM,4,3,4,4,476717,227008,11350400,2009,1979,30
Anna Nagar,1758,164,1,1,4,Partial,Yes,Commercial,AllPub,No Access,RL,3,2,4,3,713565,231426,19285540,2008,1966,42
Karapakkam,607,121,1,1,2,Normal Sale,No,Others,NoSeWa,Gravel,RL,4,4,2,3,175699,117133,5856625,2010,1964,46
KK Nagar,2139,136,3,2,5,Normal Sale,Yes,Others,NoSeWa,Paved,RL,2,4,2,2,424048,249440,12472000,2008,1987,21
KK Nagar,1488,97,2,1,4,Partial,No,Others,AllPub,Paved,RH,2,5,4,3,405211,202606,8441900,2010,1983,27
Velachery,1645,96,2,1,4,Partial,No,House,NoSeWa,No Access,RH,3,4,2,3,250118,75793,7579320,2006,1980,26
Chrompet,950,177,1,1,3,Normal Sale,Yes,Others,NoSeWa,Gravel,RL,3,2,3,3,273252,146385,9759000,2009,1983,26
Chrompet,928,90,1,1,3,Partial,Yes,Commercial,AllPub,Gravel,RH,2,3,3,3,409985,62119,12423800,2014,2010,4
Velachery,1693,145,2,1,4,Normal Sale,Yes,Commercial,NoSeWa,Paved,RM,4,2,4,3,604335,108470,15495760,2008,1955,53
Velachery,1873,0,3,2,5,Family,Yes,Others,AllPub,No Access,RL,4,3,3,3,363735,198401,11022270,2007,1986,21
Adyar,721,145,1,1,2,Partial,No,Others,NoSeWa,Paved,RL,3,2,4,3,273800,60844,7605550,2010,2000,10
Karapakkam,1190,37,1,1,3,Family,Yes,House,NoSeWa,Gravel,RH,4,4,3,4,342613,127484,7967750,2011,1982,29
KK Nagar,1593,9,2,1,4,Partial,No,Others,AllPub,Paved,RH,3,3,4,3,402606,223670,8946800,2011,1994,17
Chrompet,786,181,1,1,2,Ab Normal,Yes,Others,AllPub,Gravel,RL,4,4,4,4,249610,83203,9244820,2010,1998,12
Chrompet,1195,93,1,1,3,AdjLand,No,Others,NoSeWa,Paved,RL,3,4,3,3,265183,29465,9821600,2011,1992,19
Velachery,1824,187,3,2,5,Normal Sale,No,House,NoSeWa,Paved,I,3,2,4,3,273570,76942,8549060,2009,1976,33
KK Nagar,1906,81,3,2,5,Ab Normal,Yes,Commercial,NoSeWa,Paved,RH,3,4,3,3,792637,206086,15852740,2008,2001,7
Adyar,656,20,1,1,2,Ab Normal,No,Commercial,AllPub,Paved,I,4,2,2,2,280244,113849,8757635,2010,2001,9
Chrompet,727,84,1,1,2,Ab Normal,No,Others,AllPub,Gravel,RM,3,4,2,3,218816,100992,8415990,2007,1991,16
Adyar,931,37,1,1,3,Family,Yes,Others,AllPub,Paved,RM,2,3,4,3,367617,19871,9935595,2010,1977,33
Velachery,1898,108,3,2,5,AdjLand,Yes,Commercial,AllPub,No Access,RM,3,2,4,3,581625,332357,16617860,2007,1969,38
Anna Nagar,1698,15,1,1,4,Family,No,House,NoSeWa,Gravel,RM,5,4,3,4,359949,198593,12412050,2007,1967,40
T Nagar,1926,193,2,1,5,AdjLand,Yes,Commercial,NoSeWa,No Access,RM,4,4,3,3,633655,203675,22630540,2007,1990,17
Karapakkam,1481,144,2,2,4,Partial,Yes,Commercial,AllPub,Paved,A,3,4,2,3,485174,178227,9901500,2010,1972,38
Anna Nagar,1506,122,1,1,4,Family,No,House,AllPub,No Access,RM,3,3,2,3,417996,177648,10449910,2007,1974,33
Chrompet,1020,95,1,1,3,Family,No,House,NoSeWa,No Access,RM,4,2,4,3,206664,31794,7948600,2014,1990,24
Chrompet,889,196,1,1,3,Ab Normal,No,Others,AllPub,Gravel,RM,5,2,2,3,300256,136480,9098680,2008,1987,21
Chrompet,1015,147,1,1,3,Family,Yes,House,AllPub,Paved,RH,3,4,2,3,275314,66743,8342850,2012,1977,35
T Nagar,1682,78,1,1,4,Ab Normal,No,Commercial,AllPub,Gravel,RH,3,3,3,3,690507,111974,18662350,2011,1976,35
Chrompet,869,39,1,1,3,Family,No,Others,NoSeWa,No Access,RM,4,4,3,4,220661,138935,8172630,2013,1995,18
Karapakkam,1445,20,2,2,4,Family,No,House,NoSeWa,No Access,I,4,2,2,3,216691,87848,5856500,2012,1988,24
Anna Nagar,1919,178,2,1,5,Partial,Yes,House,NoSeWa,Gravel,RM,2,5,3,3,544054,117633,14704160,2014,2001,13
Adyar,1243,141,2,2,4,Normal Sale,Yes,Commercial,NoSeWa,Paved,C,3,4,2,3,440895,26721,13360440,2011,1975,36
Karapakkam,857,158,1,1,2,Normal Sale,No,House,AllPub,Paved,I,3,2,3,3,236556,59139,4928250,2010,1993,17
Karapakkam,1055,174,1,1,3,AdjLand,Yes,Others,NoSeWa,Gravel,I,3,2,4,3,226769,117042,7315125,2010,1962,48
KK Nagar,1778,94,3,2,5,Family,No,Others,NoSeWa,Gravel,RL,3,3,4,3,340948,153976,10998320,2011,2003,8
Karapakkam,851,124,1,1,2,AdjLand,No,Others,AllPub,Paved,A,3,4,2,3,181073,39364,3936375,2011,1970,41
Chrompet,1021,82,1,1,3,Partial,Yes,Others,NoSeWa,No Access,RL,2,2,4,2,276053,147228,9201770,2008,2004,4
KK Nagar,2203,76,3,2,5,Ab Normal,Yes,Commercial,NoSeWa,Paved,RL,2,2,4,3,572520,339934,17891240,2010,1988,22
Karapakkam,613,81,1,1,2,Family,No,Commercial,NoSeWa,No Access,I,4,4,2,3,195491,66879,5144500,2010,1980,30
Adyar,738,69,1,1,2,Partial,No,Commercial,NoSeWa,No Access,I,2,4,5,3,324194,8313,8312670,2007,1989,18
Karapakkam,1489,177,2,2,4,AdjLand,No,House,AllPub,Gravel,RH,4,3,4,3,384348,200181,8007250,2011,1982,29
Karapakkam,795,73,1,1,2,Ab Normal,Yes,House,NoSeWa,Gravel,RM,3,2,4,3,254378,127189,8479250,2009,2000,9
Velachery,1909,11,3,2,5,Family,Yes,Others,AllPub,Gravel,A,4,4,5,4,303875,212712,10129160,2012,1979,33
Chrompet,1252,190,2,1,4,Family,No,House,AllPub,No Access,RM,3,4,4,4,265502,47411,9482200,2011,1999,12
Karapakkam,1077,144,1,1,3,Ab Normal,No,Commercial,AllPub,Paved,RM,3,4,4,4,305249,246169,9846750,2011,1978,33
KK Nagar,1524,73,2,1,4,Normal Sale,No,Others,NoSeWa,Paved,RH,3,2,2,3,303654,208220,8675820,2008,1981,27
Chrompet,1049,36,1,1,3,Partial,Yes,House,AllPub,Gravel,RM,4,4,3,4,328398,133412,10262450,2008,1997,11
Velachery,1780,194,2,1,4,Ab Normal,No,Others,AllPub,Gravel,C,4,2,2,2,329500,130066,8671050,2008,1953,55
Chrompet,946,14,1,1,3,AdjLand,No,Commercial,AllPub,No Access,RL,3,3,4,3,368463,111656,11165550,2008,1991,17
Chrompet,906,116,1,1,3,Partial,Yes,House,NoSeWa,Gravel,RM,3,4,3,3,302874,28394,9464800,2008,1976,32
KK Nagar,2344,71,4,2,6,Ab Normal,No,Commercial,NoSeWa,Gravel,RM,4,3,4,4,622046,471247,18849880,2010,1986,24
Adyar,929,76,1,1,3,AdjLand,Yes,Others,NoSeWa,Paved,RH,2,2,2,2,341295,75843,9480425,2009,1994,15
Anna Nagar,1843,158,2,1,5,AdjLand,No,House,AllPub,No Access,RL,3,3,3,3,318884,147177,12264750,2009,1994,15
Anna Nagar,1918,187,2,1,5,Partial,Yes,Commercial,AllPub,Gravel,RL,3,2,2,2,809377,218751,21875050,2009,1974,35
